Any;Comarca;Valors
2020;Segrià;2280
2021;Segrià;2414
2022;Segrià;2552
2023;Segrià;2.673
2001;Selva;723
2002;Selva;768
2003;Selva;787
2004;Selva;811
2005;Selva;852
2006;Selva;872
2007;Selva;908
2008;Selva;934
2009;Selva;933
2010;Selva;983
2011;Selva;1017
2012;Selva;1081
2013;Selva;1128
2014;Selva;1179
2015;Selva;1208
2016;Selva;1248
2017;Selva;1307
2018;Selva;1409
2019;Selva;1499
2020;Selva;1592
2021;Selva;1795
2022;Selva;1971
2023;Selva;2.154
2001;Solsonès;80
2002;Solsonès;80
2003;Solsonès;88
2004;Solsonès;87
2005;Solsonès;88
2006;Solsonès;91
2007;Solsonès;91
2008;Solsonès;91
2009;Solsonès;94
2010;Solsonès;100
2011;Solsonès;104
2012;Solsonès;107
2013;Solsonès;115
2014;Solsonès;129
2015;Solsonès;130
2016;Solsonès;138
2017;Solsonès;145
2018;Solsonès;147
2019;Solsonès;145
2020;Solsonès;155
2021;Solsonès;161
2022;Solsonès;169
2023;Solsonès;193
2001;Tarragonès;1308
2002;Tarragonès;1341
2003;Tarragonès;1388
2004;Tarragonès;1425
2005;Tarragonès;1458
2006;Tarragonès;1501
2007;Tarragonès;1544
2008;Tarragonès;1604
2009;Tarragonès;1772
2010;Tarragonès;1914
2011;Tarragonès;1982
2012;Tarragonès;2045
2013;Tarragonès;2078
2014;Tarragonès;2103
2015;Tarragonès;2130
2016;Tarragonès;2242
2017;Tarragonès;2510
2018;Tarragonès;2728
2019;Tarragonès;2930
2020;Tarragonès;3081
2021;Tarragonès;3469
2022;Tarragonès;3790
2023;Tarragonès;4.098
2001;Terra Alta;62
2002;Terra Alta;60
2003;Terra Alta;59
2004;Terra Alta;61
2005;Terra Alta;62
2006;Terra Alta;58
2007;Terra Alta;57
2008;Terra Alta;59
2009;Terra Alta;67
2010;Terra Alta;73
2011;Terra Alta;72
2012;Terra Alta;76
2013;Terra Alta;86
2014;Terra Alta;85
2015;Terra Alta;85
2016;Terra Alta;86
2017;Terra Alta;92
2018;Terra Alta;99
2019;Terra Alta;113
2020;Terra Alta;117
2021;Terra Alta;135
2022;Terra Alta;152
2023;Terra Alta;149
2001;Urgell;173
2002;Urgell;182
2003;Urgell;188
2004;Urgell;197
2005;Urgell;204
2006;Urgell;217
2007;Urgell;217
2008;Urgell;230
2009;Urgell;237
2010;Urgell;246
2011;Urgell;258
2012;Urgell;269
2013;Urgell;266
2014;Urgell;278
2015;Urgell;278
2016;Urgell;292
2017;Urgell;295
2018;Urgell;306
2019;Urgell;312
2020;Urgell;324
2021;Urgell;338
2022;Urgell;362
2023;Urgell;393
2001;Val d'Aran;45
2002;Val d'Aran;47
2003;Val d'Aran;50
2004;Val d'Aran;51
2005;Val d'Aran;50
2006;Val d'Aran;48
2007;Val d'Aran;46
2008;Val d'Aran;49
2009;Val d'Aran;47
2010;Val d'Aran;47
2011;Val d'Aran;50
2012;Val d'Aran;51
2013;Val d'Aran;51
2014;Val d'Aran;49
2015;Val d'Aran;50
2016;Val d'Aran;49
2017;Val d'Aran;49
2018;Val d'Aran;47
2019;Val d'Aran;46
2020;Val d'Aran;49
2021;Val d'Aran;49
2022;Val d'Aran;51
2001;Vallès Occidental;4144
2002;Vallès Occidental;4177
2003;Vallès Occidental;4336
2004;Vallès Occidental;4455
2005;Vallès Occidental;4540
2006;Vallès Occidental;4629
2007;Vallès Occidental;4703
2008;Vallès Occidental;4846
2009;Vallès Occidental;4989
2010;Vallès Occidental;5150
2011;Vallès Occidental;5428
2012;Vallès Occidental;5705
2013;Vallès Occidental;6089
2014;Vallès Occidental;6463
2015;Vallès Occidental;6803
2016;Vallès Occidental;7136
2017;Vallès Occidental;7449
2018;Vallès Occidental;7815
2019;Vallès Occidental;8696
2020;Vallès Occidental;9137
2021;Vallès Occidental;9805
2022;Vallès Occidental;10745
2023;Vallès Occidental;11.462
2001;Vallès Oriental;1470
2002;Vallès Oriental;1518
2003;Vallès Oriental;1576
2004;Vallès Oriental;1652
2005;Vallès Oriental;1696
2006;Vallès Oriental;1740
2007;Vallès Oriental;1789
2008;Vallès Oriental;1842
2009;Vallès Oriental;1898
2010;Vallès Oriental;1966
2011;Vallès Oriental;2053
2012;Vallès Oriental;2166
2013;Vallès Oriental;2279
2014;Vallès Oriental;2411
2015;Vallès Oriental;2459
2016;Vallès Oriental;2572
2017;Vallès Oriental;2708
2018;Vallès Oriental;2955
2019;Vallès Oriental;3190
2020;Vallès Oriental;3263
2021;Vallès Oriental;3435
2022;Vallès Oriental;3760
2023;Vallès Oriental;4.101
