Any,Comarca,Tipologia,Habitatges,Capacitat,Entitat privada d'iniciativa social_count,Entitat d'iniciativa pública_count,Entitat privada d'iniciativa mercantil_count,Habitatge acumulat,Capacitat acumulada
1990,Alt Penedès,Llar amb suport,0,0,,,,0,0
1990,Alt Penedès,Llar residència,0,0,,,,0,0
1990,Alt Penedès,Residència,0,0,,,,0,0
1990,Alt Urgell,Llar amb suport,0,0,,,,0,0
1990,Alt Urgell,Llar residència,0,0,,,,0,0
1990,Alt Urgell,Residència,0,0,,,,0,0
1990,Alta Ribagorça,Llar amb suport,0,0,,,,0,0
1990,Alta Ribagorça,Llar residència,0,0,,,,0,0
1990,Alta Ribagorça,Residència,0,0,,,,0,0
1990,Anoia,Llar amb suport,0,0,,,,0,0
1990,Anoia,Llar residència,5,35,0.0,0.0,5.0,5,35
1990,Anoia,Residència,0,0,,,,0,0
1990,Bages,Llar amb suport,0,0,,,,0,0
1990,Bages,Llar residència,1,18,0.0,0.0,1.0,1,18
1990,Bages,Residència,0,0,,,,0,0
1990,Baix Camp,Llar amb suport,0,0,,,,0,0
1990,Baix Camp,Llar residència,0,0,,,,0,0
1990,Baix Camp,Residència,0,0,,,,0,0
1990,Baix Ebre,Llar amb suport,0,0,,,,0,0
1990,Baix Ebre,Llar residència,0,0,,,,0,0
1990,Baix Ebre,Residència,0,0,,,,0,0
1990,Baix Empordà,Llar amb suport,0,0,,,,0,0
1990,Baix Empordà,Llar residència,0,0,,,,0,0
1990,Baix Empordà,Residència,0,0,,,,0,0
1990,Baix Llobregat,Llar amb suport,0,0,,,,0,0
1990,Baix Llobregat,Llar residència,0,0,,,,0,0
1990,Baix Llobregat,Residència,0,0,,,,0,0
1990,Baix Penedès,Llar amb suport,0,0,,,,0,0
1990,Baix Penedès,Llar residència,0,0,,,,0,0
1990,Baix Penedès,Residència,0,0,,,,0,0
1990,Barcelonès,Llar amb suport,0,0,,,,0,0
1990,Barcelonès,Llar residència,1,15,0.0,0.0,1.0,1,15
1990,Barcelonès,Residència,2,107,1.0,0.0,1.0,2,107
1990,Berguedà,Llar amb suport,0,0,,,,0,0
1990,Berguedà,Llar residència,0,0,,,,0,0
1990,Berguedà,Residència,0,0,,,,0,0
1990,Cerdanya,Llar amb suport,0,0,,,,0,0
1990,Cerdanya,Llar residència,0,0,,,,0,0
1990,Cerdanya,Residència,0,0,,,,0,0
1990,Conca de Barberà,Llar amb suport,0,0,,,,0,0
1990,Conca de Barberà,Llar residència,0,0,,,,0,0
1990,Conca de Barberà,Residència,0,0,,,,0,0
1990,Garraf,Llar amb suport,0,0,,,,0,0
1990,Garraf,Llar residència,1,23,1.0,0.0,0.0,1,23
1990,Garraf,Residència,0,0,,,,0,0
1990,Garrigues,Llar amb suport,0,0,,,,0,0
1990,Garrigues,Llar residència,0,0,,,,0,0
1990,Garrigues,Residència,0,0,,,,0,0
1990,Garrotxa,Llar amb suport,0,0,,,,0,0
1990,Garrotxa,Llar residència,0,0,,,,0,0
1990,Garrotxa,Residència,0,0,,,,0,0
1990,Gironès,Llar amb suport,0,0,,,,0,0
1990,Gironès,Llar residència,0,0,,,,0,0
1990,Gironès,Residència,2,56,1.0,0.0,1.0,2,56
1990,Lluçanès,Llar amb suport,0,0,,,,0,0
1990,Lluçanès,Llar residència,0,0,,,,0,0
1990,Lluçanès,Residència,0,0,,,,0,0
1990,Maresme,Llar amb suport,0,0,,,,0,0
1990,Maresme,Llar residència,1,10,0.0,0.0,1.0,1,10
1990,Maresme,Residència,0,0,,,,2,202
1990,Moianès,Llar amb suport,0,0,,,,0,0
1990,Moianès,Llar residència,1,9,0.0,0.0,1.0,1,9
1990,Moianès,Residència,0,0,,,,0,0
1990,Montsià,Llar amb suport,0,0,,,,0,0
1990,Montsià,Llar residència,0,0,,,,0,0
1990,Montsià,Residència,0,0,,,,0,0
1990,Noguera,Llar amb suport,0,0,,,,0,0
1990,Noguera,Llar residència,0,0,,,,0,0
1990,Noguera,Residència,0,0,,,,0,0
1990,Osona,Llar amb suport,0,0,,,,0,0
1990,Osona,Llar residència,0,0,,,,0,0
1990,Osona,Residència,0,0,,,,0,0
1990,Pallars Jussà,Llar amb suport,0,0,,,,0,0
1990,Pallars Jussà,Llar residència,0,0,,,,0,0
1990,Pallars Jussà,Residència,0,0,,,,0,0
1990,Pallars Sobirà,Llar amb suport,0,0,,,,0,0
1990,Pallars Sobirà,Llar residència,0,0,,,,0,0
1990,Pallars Sobirà,Residència,0,0,,,,0,0
1990,Pla d'Urgell,Llar amb suport,0,0,,,,0,0
1990,Pla d'Urgell,Llar residència,0,0,,,,0,0
1990,Pla d'Urgell,Residència,0,0,,,,0,0
1990,Pla de l'Estany,Llar amb suport,0,0,,,,0,0
1990,Pla de l'Estany,Llar residència,0,0,,,,0,0
1990,Pla de l'Estany,Residència,0,0,,,,0,0
1990,Priorat,Llar amb suport,0,0,,,,0,0
1990,Priorat,Llar residència,0,0,,,,0,0
1990,Priorat,Residència,0,0,,,,0,0
1990,Ribera d'Ebre,Llar amb suport,0,0,,,,0,0
1990,Ribera d'Ebre,Llar residència,0,0,,,,0,0
1990,Ribera d'Ebre,Residència,0,0,,,,0,0
1990,Ripollès,Llar amb suport,0,0,,,,0,0
1990,Ripollès,Llar residència,0,0,,,,0,0
1990,Ripollès,Residència,0,0,,,,0,0
1990,Segarra,Llar amb suport,0,0,,,,0,0
1990,Segarra,Llar residència,0,0,,,,0,0
1990,Segarra,Residència,0,0,,,,0,0
1990,Segrià,Llar amb suport,0,0,,,,0,0
1990,Segrià,Llar residència,1,24,0.0,0.0,1.0,1,24
1990,Segrià,Residència,0,0,,,,1,93
1990,Selva,Llar amb suport,0,0,,,,0,0
1990,Selva,Llar residència,0,0,,,,0,0
1990,Selva,Residència,1,79,0.0,0.0,1.0,1,79
1990,Solsonès,Llar amb suport,0,0,,,,0,0
1990,Solsonès,Llar residència,0,0,,,,0,0
1990,Solsonès,Residència,0,0,,,,0,0
1990,Tarragonès,Llar amb suport,0,0,,,,0,0
1990,Tarragonès,Llar residència,0,0,,,,0,0
1990,Tarragonès,Residència,0,0,,,,0,0
1990,Terra Alta,Llar amb suport,0,0,,,,0,0
1990,Terra Alta,Llar residència,0,0,,,,0,0
1990,Terra Alta,Residència,0,0,,,,0,0
1990,Urgell,Llar amb suport,0,0,,,,0,0
1990,Urgell,Llar residència,1,16,0.0,0.0,1.0,1,16
1990,Urgell,Residència,0,0,,,,0,0
1990,Val d'Aran,Llar amb suport,0,0,,,,0,0
1990,Val d'Aran,Llar residència,0,0,,,,0,0
1990,Val d'Aran,Residència,0,0,,,,0,0
1990,Vallès Occidental,Llar amb suport,0,0,,,,0,0
1990,Vallès Occidental,Llar residència,0,0,,,,0,0
1990,Vallès Occidental,Residència,3,304,0.0,0.0,3.0,4,318
1990,Vallès Oriental,Llar amb suport,0,0,,,,0,0
1990,Vallès Oriental,Llar residència,0,0,,,,0,0
1990,Vallès Oriental,Residència,1,21,0.0,0.0,1.0,1,21
1991,Alt Camp,Llar amb suport,0,0,,,,0,0
1991,Alt Camp,Llar residència,0,0,,,,0,0
1991,Alt Camp,Residència,0,0,,,,0,0
1991,Alt Empordà,Llar amb suport,0,0,,,,0,0
1991,Alt Empordà,Llar residència,0,0,,,,0,0
1991,Alt Empordà,Residència,0,0,,,,1,44
1991,Alt Penedès,Llar amb suport,0,0,,,,0,0
1991,Alt Penedès,Llar residència,1,7,0.0,0.0,1.0,1,7
1991,Alt Penedès,Residència,0,0,,,,0,0
1991,Alt Urgell,Llar amb suport,0,0,,,,0,0
1991,Alt Urgell,Llar residència,0,0,,,,0,0
1991,Alt Urgell,Residència,0,0,,,,0,0
1991,Alta Ribagorça,Llar amb suport,0,0,,,,0,0
1991,Alta Ribagorça,Llar residència,0,0,,,,0,0
1991,Alta Ribagorça,Residència,0,0,,,,0,0
1991,Anoia,Llar amb suport,0,0,,,,0,0
1991,Anoia,Llar residència,0,0,,,,5,35
1991,Anoia,Residència,1,38,0.0,0.0,1.0,1,38
1991,Bages,Llar amb suport,0,0,,,,0,0
1991,Bages,Llar residència,0,0,,,,1,18
1991,Bages,Residència,0,0,,,,0,0
1991,Baix Camp,Llar amb suport,0,0,,,,0,0
1991,Baix Camp,Llar residència,0,0,,,,0,0
1991,Baix Camp,Residència,1,74,1.0,0.0,0.0,1,74
1991,Baix Ebre,Llar amb suport,0,0,,,,0,0
1991,Baix Ebre,Llar residència,0,0,,,,0,0
1991,Baix Ebre,Residència,0,0,,,,0,0
1991,Baix Empordà,Llar amb suport,0,0,,,,0,0
1991,Baix Empordà,Llar residència,0,0,,,,0,0
1991,Baix Empordà,Residència,0,0,,,,0,0
1991,Baix Llobregat,Llar amb suport,0,0,,,,0,0
1991,Baix Llobregat,Llar residència,1,12,0.0,0.0,1.0,1,12
1991,Baix Llobregat,Residència,1,52,1.0,0.0,0.0,1,52
1991,Baix Penedès,Llar amb suport,0,0,,,,0,0
1991,Baix Penedès,Llar residència,1,24,0.0,0.0,1.0,1,24
1991,Baix Penedès,Residència,0,0,,,,0,0
1991,Barcelonès,Llar amb suport,0,0,,,,0,0
1991,Barcelonès,Llar residència,3,56,1.0,0.0,2.0,4,71
1991,Barcelonès,Residència,1,12,0.0,0.0,1.0,3,119
1991,Berguedà,Llar amb suport,0,0,,,,0,0
1991,Berguedà,Llar residència,0,0,,,,0,0
1991,Berguedà,Residència,0,0,,,,0,0
1991,Cerdanya,Llar amb suport,0,0,,,,0,0
1991,Cerdanya,Llar residència,0,0,,,,0,0
1991,Cerdanya,Residència,0,0,,,,0,0
1991,Conca de Barberà,Llar amb suport,0,0,,,,0,0
1991,Conca de Barberà,Llar residència,0,0,,,,0,0
1991,Conca de Barberà,Residència,0,0,,,,0,0
1991,Garraf,Llar amb suport,0,0,,,,0,0
1991,Garraf,Llar residència,0,0,,,,1,23
1991,Garraf,Residència,0,0,,,,0,0
1991,Garrigues,Llar amb suport,0,0,,,,0,0
1991,Garrigues,Llar residència,0,0,,,,0,0
1991,Garrigues,Residència,0,0,,,,0,0
1991,Garrotxa,Llar amb suport,0,0,,,,0,0
1991,Garrotxa,Llar residència,1,11,0.0,0.0,1.0,1,11
1991,Garrotxa,Residència,0,0,,,,0,0
1991,Gironès,Llar amb suport,0,0,,,,0,0
1991,Gironès,Llar residència,1,10,0.0,0.0,1.0,1,10
1991,Gironès,Residència,0,0,,,,2,56
1991,Lluçanès,Llar amb suport,0,0,,,,0,0
1991,Lluçanès,Llar residència,0,0,,,,0,0
1991,Lluçanès,Residència,0,0,,,,0,0
1991,Maresme,Llar amb suport,0,0,,,,0,0
1991,Maresme,Llar residència,0,0,,,,1,10
1991,Maresme,Residència,0,0,,,,2,202
1991,Moianès,Llar amb suport,0,0,,,,0,0
1991,Moianès,Llar residència,0,0,,,,1,9
1991,Moianès,Residència,0,0,,,,0,0
1991,Montsià,Llar amb suport,0,0,,,,0,0
1991,Montsià,Llar residència,0,0,,,,0,0
1991,Montsià,Residència,0,0,,,,0,0
1991,Noguera,Llar amb suport,0,0,,,,0,0
1991,Noguera,Llar residència,0,0,,,,0,0
1991,Noguera,Residència,0,0,,,,0,0
1991,Osona,Llar amb suport,0,0,,,,0,0
1991,Osona,Llar residència,0,0,,,,0,0
1991,Osona,Residència,0,0,,,,0,0
1991,Pallars Jussà,Llar amb suport,0,0,,,,0,0
1991,Pallars Jussà,Llar residència,0,0,,,,0,0
1991,Pallars Jussà,Residència,0,0,,,,0,0
1991,Pallars Sobirà,Llar amb suport,0,0,,,,0,0
1991,Pallars Sobirà,Llar residència,0,0,,,,0,0
1991,Pallars Sobirà,Residència,0,0,,,,0,0
1991,Pla d'Urgell,Llar amb suport,0,0,,,,0,0
1991,Pla d'Urgell,Llar residència,0,0,,,,0,0
1991,Pla d'Urgell,Residència,0,0,,,,0,0
1991,Pla de l'Estany,Llar amb suport,0,0,,,,0,0
1991,Pla de l'Estany,Llar residència,0,0,,,,0,0
1991,Pla de l'Estany,Residència,0,0,,,,0,0
1991,Priorat,Llar amb suport,0,0,,,,0,0
1991,Priorat,Llar residència,0,0,,,,0,0
1991,Priorat,Residència,0,0,,,,0,0
1991,Ribera d'Ebre,Llar amb suport,0,0,,,,0,0
1991,Ribera d'Ebre,Llar residència,0,0,,,,0,0
1991,Ribera d'Ebre,Residència,0,0,,,,0,0
1991,Ripollès,Llar amb suport,0,0,,,,0,0
1991,Ripollès,Llar residència,0,0,,,,0,0
1991,Ripollès,Residència,1,26,0.0,0.0,1.0,1,26
1991,Segarra,Llar amb suport,0,0,,,,0,0
1991,Segarra,Llar residència,0,0,,,,0,0
1991,Segarra,Residència,0,0,,,,0,0
1991,Segrià,Llar amb suport,0,0,,,,0,0
1991,Segrià,Llar residència,0,0,,,,1,24
